I'm 19.	J'ai 19 ans.
They're all gone.	Ils ont tous disparu.
They're so funny.	Ils sont si drôles.
They're stalling.	Ils sont en train de temporiser.
They're students.	Ce sont des étudiantes.
They're students.	Ce sont des élèves.
They're traitors.	Ce sont des traîtres.
We're a bit late.	Nous sommes un tantinet en retard.
We're all single.	Nous sommes tous célibataires.
We're all unique.	Nous sommes tous uniques.
We're astonished.	Nous sommes stupéfaits.
We're being used.	On nous exploite.
We're classmates.	Nous sommes des copains de classe.
We're downsizing.	Nous réduisons la voilure.
We're getting it.	Nous pigeons.
We're going back.	Nous retournons en arrière.
We're going down.	Nous descendons.
We're going east.	Nous nous dirigeons vers l'est.
We're going west.	Nous nous dirigeons vers l'ouest.
We're half right.	Nous avons à moitié raison.
We're having fun.	Nous nous amusons.
We're in college.	Nous sommes à la fac.
We're in control.	Nous contrôlons la situation.
We're lifeguards.	Nous sommes sauveteurs.
We're not buying.	Nous ne sommes pas en train d'acheter.
We're not dating.	Nous ne fricotons pas.
We're not guilty.	Nous ne sommes pas coupables.
We're not needed.	On n'a pas besoin de nous.
We're on our own.	Nous sommes seuls.
We're speechless.	Nous sommes sans voix.
We're successful.	Nous connaissons la réussite.
We're surrounded.	Nous sommes cernés.
We're taking off.	Nous sommes en train de décoller.
We're the owners.	Nous sommes les propriétaires.
We're undressing.	Nous nous déshabillons.
We're undressing.	Nous sommes en train de nous déshabiller.
We're unemployed.	Nous sommes sans emploi.
We're unemployed.	Nous sommes dépourvus d'emplois.
We're untalented.	Nous sommes dépourvues de talent.
You are children.	Vous êtes des enfants.
You are deranged.	Tu es dérangé.
You are fabulous.	Tu es fabuleux.
You are fabulous.	Tu es fabuleuse.
You are gorgeous.	Tu es splendide.
You are hopeless.	Tu es impossible.
You are hopeless.	Tu es incorrigible.
You are to blame.	Vous êtes responsable.
You are to blame.	Vous êtes responsables.
You are too late.	Tu arrives trop tard.
You are too late.	Vous arrivez trop tard.
You're a traitor.	Tu es un traître.
You're a traitor.	Tu es une traîtresse.
You're all right.	Vous allez bien.
You're assertive.	Tu te fais comprendre.
You're assertive.	Vous savez vous faire comprendre.
You're beautiful.	Vous êtes beaux.
You're beautiful.	Vous êtes belles.
You're conceited.	Tu es suffisant.
You're conceited.	Tu es suffisante.
You're conceited.	Vous êtes suffisants.
You're conceited.	Vous êtes suffisantes.
You're courteous.	Tu es courtois.
You're courteous.	Tu es courtoise.
You're courteous.	Vous êtes courtoises.
You're exhausted.	Vous êtes épuisés.
You're exhausted.	Vous êtes épuisées.
You're forgetful.	Tu es oublieux.
You're forgetful.	Tu es oublieuse.
You're fortunate.	Tu as de la chance.
You're fortunate.	Vous êtes chanceuses.
You're no singer.	Vous n'êtes pas chanteur.
You're not dying.	Vous n'êtes pas mourant.
You're not fired.	Tu n'es pas virée.
You're not fired.	Vous n'êtes pas virés.
You're not fired.	Vous n'êtes pas virées.
You're obnoxious.	Tu es odieux.
You're obnoxious.	Tu es odieuse.
You're obnoxious.	Vous êtes odieuses.
You're observant.	Tu as le sens de l'observation.
You're powerless.	Tu es dépourvu de pouvoir.
You're resilient.	Vous êtes tenaces.
You're shivering.	Tu frissonnes.
You're talkative.	Tu es bavard.
You're talkative.	Tu es bavarde.
You're talkative.	Vous êtes bavards.
You're talkative.	Vous êtes bavardes.
You're too tense.	Tu es trop tendu.
You're too tense.	Tu es trop tendue.
You're too tense.	Vous êtes trop tendus.
You're too tense.	Vous êtes trop tendues.
You're unethical.	Tu es immoral.
You're unethical.	Tu es immorale.
You're very nice.	Tu es très chouette.
You're very nice.	Vous êtes très chouettes.
You're very open.	Tu es très ouverte.
You're very wise.	Tu es très avisé.
You're very wise.	Tu es très avisée.
You're very wise.	Vous êtes très sages.
You're very wise.	Vous êtes très avisés.
You're very wise.	Vous êtes très avisées.
You're wonderful.	Tu es merveilleux.
You're wonderful.	Tu es merveilleuse.
You're wonderful.	Vous êtes merveilleuses.
He is a big eater.	C'est un gros mangeur.
He is a biologist.	Il est biologiste.
He is a born poet.	C'est un poète né.
He is a brave man.	C'est un brave homme.
He is a daredevil.	C'est un casse-cou.
He is a detective.	Il est détective.
He is a dramatist.	Il est dramaturge.
He is a gentleman.	C'est un monsieur.
He is a physicist.	C'est un physicien.
He is a quiet man.	C'est un homme taiseux.
He is a scientist.	C'est un scientifique.
He is about forty.	Il doit avoir la quarantaine.
He is at his desk.	Il est à son bureau.
He is beyond help.	Il n'y a rien à en tirer.
He is beyond hope.	C'est un cas sans espoir.
He is in business.	Il est dans les affaires.
He is incompetent.	Il est incompétent.
He is influential.	Il est influent.
He is still alive.	Il est encore vivant.
He is still angry.	Il est encore fâché.
He is teaching me.	Il m'instruit.
He is unrealistic.	Il est irréaliste.
He is walking now.	Il est actuellement en train de marcher.
He is watching TV.	Il regarde la TV.
He's a journalist.	Il est journaliste.
He's a movie buff.	C'est un mordu de cinéma.
He's already left.	Il est déjà parti.
He's already left.	Il s'en est déjà allé.
He's an old timer.	C'est un vieux de la vieille.
He's an undergrad.	C'est un étudiant de premier cycle.
He's deep in debt.	Il est endetté jusqu'au cou.
He's from Georgia.	Il est originaire de Géorgie.
He's in hot water.	Il est dans le pétrin.
He's in hot water.	Il est dans la mouise.
He's just arrived.	Il vient d'arriver.
He's old and ugly.	Il est vieux et laid.
He's raking it in.	Il s'en met plein les poches.
He's raking it in.	Il s'en fourre plein les fouilles.
He's raking it in.	Il ramasse l'argent à la pelle.
He's raking it in.	Il prend plein d'oseille.
He's really quick.	Il est vraiment rapide.
He's sound asleep.	Il dort profondément.
He's swimming now.	Il est en train de nager.
He's tickled pink.	Il est aux anges.
He's too trusting.	Il est trop confiant.
I am a bad person.	Je suis un être mauvais.
I am a cat person.	J'aime les chats.
I am afraid to go.	J'ai peur de m'y rendre.
I am almost ready.	Je suis presque prêt.
I am baking bread.	Je cuis du pain.
I am good at math.	Je suis bon en maths.
I am in your debt.	Je suis votre débiteur.
I am in your debt.	Je suis votre débitrice.
I am ready to die.	Je suis préparé à mourir.
I am very pleased.	Je suis très satisfait.
I'm a busy person.	Je suis une personne occupée.
I'm a little busy.	Je suis un peu occupé.
I'm a new student.	Je suis un nouvel étudiant.
I'm a new student.	Je suis une nouvelle étudiante.
I'm a new student.	Je suis un nouvel élève.
I'm a normal girl.	Je suis une fille normale.
I'm a salesperson.	Je suis un vendeur.
I'm a total wreck.	Je suis une vraie loque.
I'm all by myself.	Je suis tout seul.
I'm already bored.	Je m'ennuie déjà.
I'm as old as you.	Je suis aussi âgé que toi.
I'm as old as you.	Je suis aussi âgée que toi.
I'm at school now.	Je suis actuellement à l'école.
I'm at your mercy.	Je suis à votre merci.
I'm aware of that.	J'en suis conscient.
I'm aware of that.	J'en suis consciente.
I'm awfully tired.	Je suis terriblement fatigué.
I'm being careful.	Je fais attention.
I'm being patient.	Je fais montre de patience.
I'm being watched.	Je suis observé.
I'm concentrating.	Je suis en train de me concentrer.
I'm concentrating.	Je suis en cours de concentration.
I'm doing my duty.	Je fais mon devoir.
I'm done thinking.	J'en ai marre de penser.
I'm extremely fat.	Je suis extrêmement gras.
I'm feeling dizzy.	J'ai la tête qui tourne.
I'm flabbergasted.	Je suis sidéré.
I'm flabbergasted.	Je suis abasourdi.
I'm from Bulgaria.	Je viens de Bulgarie.
I'm from Colombia.	Je viens de Colombie.
I'm from the city.	Je suis de la ville.
I'm glad I did it.	Je me réjouis de l'avoir fait.
I'm going to jump.	Je vais sauter.
I'm irreplaceable.	Je suis irremplaçable.
I'm just guessing.	Je ne fais que supposer.
I'm losing weight.	Je perds du poids.
I'm losing weight.	Je maigris.
I'm not a gambler.	Je ne suis pas joueuse.
I'm not a monster.	Je ne suis pas un monstre.
I'm not a psychic.	Je ne pratique pas la divination.
I'm not a psychic.	Je ne suis pas devin.
I'm not a psychic.	Je ne suis pas télépathe.
I'm not a soldier.	Je ne suis pas soldat.
I'm not a teacher.	Je ne suis pas institutrice.
I'm not available.	Je suis indisponible.
I'm not buying it.	Je ne gobe pas ça.
I'm not dangerous.	Je ne suis pas dangereux.
I'm not impressed.	Je ne suis pas impressionné.
I'm not in a rush.	Je ne suis pas aux pièces.
I'm not miserable.	Je ne suis pas malheureux.
I'm not panicking.	Je ne me panique pas.
I'm not persuaded.	Je ne suis pas convaincu.
I'm not persuaded.	Je n'en suis pas persuadé.
I'm not persuaded.	Je n'en suis pas persuadée.
I'm not that fast.	Je ne suis pas si rapide.
I'm not the coach.	Je ne suis pas l'entraîneur.
I'm not your baby.	Je ne suis pas ton bébé.
I'm not your maid.	Je ne suis pas ta servante.
I'm so overworked.	Je suis tellement débordé.
I'm sore all over.	J'ai mal partout.
I'm sort of tired.	Je suis en quelque sorte fatigué.
I'm still dubious.	Je suis encore sceptique.
I'm still waiting.	J'attends encore.
I'm taking a bath.	Je suis en train de prendre mon bain.
I'm totally drunk.	Je suis complètement saoul.
I'm uncomfortable.	Je suis gêné.
I'm your neighbor.	Je suis votre voisin.
She is a beginner.	Elle est débutante.
She is a beginner.	Elle est novice.
She is aggressive.	Elle est agressive.
She is attractive.	Elle est attirante.
She is unsociable.	Elle est asociale.
She sells flowers.	Elle vend des fleurs.
She smiled at him.	Elle lui sourit.
She speaks loudly.	Elle parle à haute voix.
She speaks loudly.	Elle parle tout haut.
She's a bit naive.	Elle est un peu niaise.
She's a tough one.	C'est une coriace.
She's fashionable.	Elle est à la mode.
She's got a point.	Elle a un argument.
She's hyperactive.	Elle est hyperactive.
She's my daughter.	C'est ma fille.
They're all alike.	Ils sont tous semblables.
They're all liars.	Ce sont tous des menteurs.
They're all liars.	Ce sont toutes des menteuses.
They're cannibals.	Ce sont des cannibales.
They're dangerous.	Elles sont dangereuses.
They're expensive.	Ils sont onéreux.
They're expensive.	Elles sont onéreuses.
They're nice guys.	Ce sont de chics types.
They're undamaged.	Ils sont intacts.
They're undamaged.	Elles sont intactes.
We are Australian.	Nous sommes Australiens.
We are Australian.	Nous sommes Australiennes.
We are classmates.	Nous sommes camarades de classe.
We are not amused.	Ça ne nous fait pas rire.
We aren't married.	Nous ne sommes pas mariées.
We aren't related.	Nous ne sommes pas apparentés.
We're all at risk.	Nous sommes tous en danger.
We're all cowards.	Nous sommes tous des lâches.
We're all retired.	Nous sommes tous retraités.
We're all retired.	Nous sommes toutes retraitées.
We're celebrating.	Nous fêtons ça.
We're changing it.	Nous sommes en train de le changer.
We're cooperating.	Nous coopérons.
We're defenseless.	Nous sommes sans défenses.
We're doing great.	Nous nous en sortons très bien.
We're experienced.	Nous avons de l'expérience.
We're experienced.	Nous disposons d'expérience.
We're going north.	Nous nous dirigeons vers le nord.
We're going south.	Nous nous dirigeons vers le sud.
We're handling it.	Nous sommes en train de nous en occuper.
We're handling it.	Nous sommes en train de nous en charger.
We're interfering.	Nous dérangeons.
We're journalists.	Nous sommes journalistes.
We're not dressed.	Nous ne sommes pas habillés.
We're not dressed.	Nous ne sommes pas habillées.
We're not killers.	Nous ne sommes pas des tueurs.
We're not killers.	Nous ne sommes pas des tueuses.
We're not perfect.	Nous ne sommes pas parfaits.
We're not perfect.	Nous ne sommes pas parfaites.
We're not smiling.	Nous ne sommes pas en train de sourire.
We're not welcome.	Nous ne sommes pas les bienvenus.
We're not welcome.	Nous ne sommes pas les bienvenues.
We're on schedule.	On est dans les clous.
We're out of beer.	Nous sommes à court de bière.
We're out of milk.	Nous sommes à court de lait.
We're out of wine.	Nous n'avons plus de vin.
We're persevering.	Nous persévérons.
We're pulling out.	Nous nous retirons.
We're resourceful.	Nous sommes pleins de ressources.
We're taking over.	Nous prenons le contrôle.
We're taking over.	Nous prenons l'ascendant.
We're taking over.	Nous rejouons.
We're the problem.	Nous sommes le problème.
We're trustworthy.	Nous sommes dignes de confiance.
You are actresses.	Vous êtes des actrices.
You are hilarious.	Que vous êtes drôle.
You are important.	Vous êtes importants.
You are important.	Vous êtes importantes.
You are important.	Tu es importante.
You're a prisoner.	Tu es un prisonnier.
You're aggressive.	Tu es agressif.
You're articulate.	Tu t'exprimes bien.
You're articulate.	Vous vous exprimez bien.
You're back again.	Tu es à nouveau de retour.
You're courageous.	Tu es courageux.
You're courageous.	Tu es courageuse.
You're disgusting.	Tu es dégoûtant.
You're disgusting.	Tu es dégoûtante.
You're disgusting.	Vous êtes dégoûtants.
You're disgusting.	Vous êtes dégoûtantes.
You're hurting me.	Tu me fais mal !
You're incredible.	Tu es incroyable.
You're killing me.	Tu me tues.
You're killing me.	Vous me tuez.
You're overworked.	Tu es surmené.
You're overworked.	Tu es surmenée.
You're overworked.	Vous êtes surmenées.
You're overworked.	Vous êtes surmenés.
You're productive.	Tu es productif.
You're productive.	Tu es productive.
You're productive.	Vous êtes productifs.
You're productive.	Vous êtes productives.
You're remarkable.	Tu es remarquable.
You're scaring me.	Tu me fais peur.
You're surrounded.	Tu es cerné.
You're surrounded.	Vous êtes cernées.
You're surrounded.	Vous êtes cernée.
You're telling me.	C'est toi qui me le dis.
You're the leader.	Vous êtes le chef.
You're the master.	Vous êtes le maître.
You're the master.	Vous êtes la maîtresse.
You're the oldest.	Vous êtes le doyen.
You're the oldest.	Vous êtes la doyenne.
You're the oldest.	C'est vous l'aînée.
You're too polite.	Tu es trop poli.
You're too polite.	Tu es trop polie.
You're too polite.	Vous êtes trop polis.
You're too polite.	Vous êtes trop polies.
You're too skinny.	Vous êtes trop maigre.
You're too skinny.	Vous êtes trop maigres.
You're very brave.	Vous êtes fort braves.
You're very sharp.	Tu es très vif.
You're very sharp.	Tu es très vive.
You're very sharp.	Vous êtes très vifs.
You're very sharp.	Vous êtes très vives.
You're very smart.	Tu es très intelligente.
You're very timid.	Vous êtes fort craintif.
You're very timid.	Vous êtes fort craintive.
You're very timid.	Vous êtes fort craintifs.
You're very timid.	Vous êtes fort craintives.
You're very timid.	Tu es très peureux.
You're very timid.	Tu es très peureuse.
You're very timid.	Vous êtes très peureuses.
You're very upset.	Vous êtes très contrariés.
You're very upset.	Vous êtes très contrariées.
He is a bad driver.	Il est mauvais conducteur.
He is a fishmonger.	Il est poissonnier.
He is a good loser.	Il est un bon perdant.
He is a slim child.	C'est un enfant mince.
He is about my age.	Il a environ mon âge.
He is about my age.	Il a à peu près mon âge.
He is about to die.	Il est à l'article de la mort.
He is all but dead.	Il est tout sauf mort.
He is drinking tea.	Il est en train de boire du thé.
He is having lunch.	Il est en train de déjeuner.
He is my classmate.	C'est mon camarade de classe.
He is my colleague.	Il est mon collègue.
He is on the radio.	Il passe à la radio.
He is playing golf.	Il joue au golf.
He is sharp-witted.	Il a l'esprit vif.
He is so heartless.	Il est vraiment sans cœur.
He is sure to come.	Il est certain de venir.
He is thick-headed.	Il est borné.
He is very careful.	Il est très soigneux.
He is very learned.	Il est très érudit.
He's a bit jealous.	Il est un peu jaloux.
He's a creationist.	C'est un créationiste.
He's a fast walker.	C'est un marcheur rapide.
He's a filthy liar.	C'est un sale menteur !
He's a food critic.	C'est un critique gastronomique.
He's a ghostwriter.	C'est un nègre.
He's a goal keeper.	Il est gardien de but.
He's a meth addict.	Il est accro aux méthamphétamines.
He's a strange guy.	C'est un type étrange.
He's an Englishman.	Il est Anglais.
He's an aristocrat.	C'est un aristocrate.
He's coming closer.	Il s'approche.
He's coming closer.	Il se rapproche.
He's down to earth.	Il est concret.
He's good at cards.	Il est bon aux cartes.
He's in the shower.	Il est dans la douche.
He's not a bad guy.	Ce n'est pas un mauvais bougre.
He's not one of us.	Il n'est pas des nôtres.
He's one of a kind.	Il est unique en son genre.
He's overconfident.	Il a trop confiance en lui-même.
He's pushing fifty.	Il frôle les cinquante ans.
He's self-employed.	Il est indépendant.
He's the scapegoat.	C'est lui le bouc émissaire.
He's very flexible.	Il est très flexible.
I am done teaching.	J'ai fini d'enseigner.
I am fond of music.	J'adore la musique.
I am from Portugal.	Je viens de Portugal.
I am from Shizuoka.	Je suis de Shizuoka.
I am grilling fish.	Je suis en train de griller du poisson.
I am in deep water.	Je suis en grande difficulté.
I am in the garden.	Je suis dans le jardin.
I am just a nobody.	Je suis juste un monsieur tout-le-monde.
I'm Tom's neighbor.	Je suis la voisine de Tom.
I'm a fast learner.	J'apprends vite.
I'm a little rusty.	Je suis un peu rouillé.
I'm a photographer.	Je suis photographe.
I'm about to leave.	Je suis sur le point de partir.
I'm afraid I can't.	Je suis désolé mais je ne peux pas.
I'm afraid of bats.	J'ai peur des chauves-souris.
I'm afraid of dogs.	J'ai peur des chiens.
I'm being harassed.	Je me fais harceler.
I'm being promoted.	On m'a promu.
I'm being promoted.	On m'a promue.
I'm being punished.	Je suis puni.
I'm being punished.	Je suis punie.
I'm being sensible.	Je fais preuve de bon sens.
I'm bleeding badly.	Je saigne gravement.
I'm bored to death.	Je m'ennuie à mourir.
I'm buying a puppy.	J'achète un chiot.
I'm claustrophobic.	Je suis claustrophobe.
I'm coming at once.	J'arrive tout de suite.
I'm coming in July.	Je viens en juillet.
I'm counting on it.	Je compte dessus.
I'm drinking water.	Je bois de l'eau.
I'm free on Sunday.	Je suis libre le dimanche.
I'm from Singapore.	Je suis de Singapour.
I'm gaining weight.	Je prends du poids.
I'm getting better.	Je me remets.
I'm going downtown.	Je vais en ville.
I'm going to fight.	Je vais me battre.
I'm going to relax.	Je vais me détendre.
I'm going to sleep.	Je vais dormir.
I'm good at skiing.	Je suis bon en ski.
I'm here to listen.	Je suis ici pour écouter.
I'm here, aren't I?	Je suis ici, n'est-ce pas ?
I'm in good health.	Je suis en bonne santé.
I'm in the bathtub.	Je suis dans la baignoire.
I'm just beginning.	Je commence à peine.
I'm just beginning.	Je ne fais que commencer.
I'm laying you off.	Je te licencie.
I'm learning Czech.	J'apprends le tchèque.
I'm letting you go.	Je te vire.
I'm letting you go.	Je te laisse partir.
I'm letting you go.	Je te libère.
I'm no one special.	Je ne suis personne de spécial.
I'm no one special.	Je ne suis personne de particulier.
I'm not a criminal.	Je ne suis pas un criminel.
I'm not a criminal.	Je ne suis pas une criminelle.
I'm not a magician.	Je ne suis pas magicien.
I'm not delusional.	Je ne souffre pas de lubies.
I'm not denying it.	Je ne le nie point.
I'm not going away.	Je ne m'en vais pas.
I'm not invincible.	Je ne suis pas invincible.
I'm not overweight.	Je ne suis pas en surpoids.
I'm not that drunk.	Je ne suis pas si saoule.
I'm not your enemy.	Je ne suis pas votre ennemie.
I'm out of control.	Je suis incontrôlable.
I'm ready to start.	Je suis prêt à démarrer.
I'm seeing someone.	Je vois quelqu'un.
I'm so embarrassed.	Je suis tellement embarrassé.
I'm so embarrassed.	Je suis tellement embarrassée.
I'm somewhat dizzy.	J'ai un peu la tête qui tourne.
I'm sorry I'm late.	Excusez mon retard.
I'm still in shock.	Je suis encore sous le choc.
I'm suddenly tired.	Je suis soudainement fatigué.
I'm supporting you.	Je vous soutiens.
I'm terribly sorry.	Je suis terriblement désolé.
I'm twice your age.	J'ai le double de ton âge.
I'm unenthusiastic.	Je suis sans enthousiasme.
I'm using that cup.	Je fais usage de cette tasse.
I'm using that cup.	Je suis en train d'utiliser cette tasse.
I'm writing a book.	Je suis en train d'écrire un bouquin.
She is a poor cook.	C'est une piètre cuisinière.
She is helping him.	Elle est en train de l'aider.
She is kissing him.	Elle est en train de l'embrasser.
She is pigeon-toed.	Elle a les pieds en dedans.
She is unconscious.	Elle est inconsciente.
She sat next to me.	Elle s'est assise à côté de moi.
She sat next to me.	Elle s'assit près de moi.
She seems friendly.	Elle a l'air sympa.
She shook her head.	Elle secoua la tête.
She shook her head.	Elle a secoué la tête.
She smiled happily.	Elle sourit avec bonheur.
She speaks Chinese.	Elle parle chinois.
She started crying.	Elle s'est mise à pleurer.
She's a big teaser.	C'est une taquine.
She's a supermodel.	C'est un mannequin d'élite.
She's an alcoholic.	C'est une alcoolique.
She's eating fruit.	Elle est en train de manger des fruits.
They're Christians.	Ils sont chrétiens.
They're carnations.	Ce sont des œillets.
They're disposable.	Ils sont jetables.
They're downstairs.	Ils sont en-dessous.
They're just words.	Ce ne sont que des mots.
They're mad at you.	Elles sont furieuses après vous.
They're not coming.	Ils ne viennent pas.
They're part of us.	Ils font partie de nous.
We are Australians.	Nous sommes Australiens.
We are busy people.	Nous sommes des gens occupés.
We're all infected.	Nous sommes tous infectés.
We're all infected.	Nous sommes toutes infectées.
We're all the same.	Nous sommes tous les mêmes.
We're almost there.	Encore un petit effort.
We're almost there.	Nous y sommes bientôt.
We're both writers.	Nous sommes tous deux écrivains.
We're conservative.	Nous sommes conservateurs.
We're contributing.	Nous contribuons.
We're disappointed.	Nous sommes déçues.
We're done talking.	Notre entretien est terminé.
We're going inside.	Nous sommes en train d'y pénétrer.
We're going to try.	Nous allons essayer.
We're halfway home.	Nous sommes à mi-chemin de chez nous.
We're honeymooning.	Nous sommes en lune de miel.
We're housesitting.	Nous gardons la maison.
We're in a library.	Nous sommes dans une bibliothèque.
We're nearly there.	Nous y sommes presque.
We're not fighting.	Nous ne nous battons pas.
We're not involved.	Nous ne sommes pas impliqués.
We're not involved.	Nous ne sommes pas impliquées.
We're not soldiers.	Nous ne sommes pas soldats.
We're out of money.	Nous sommes à court d'argent.
We're out of stock.	Nous n'en avons plus en stock.
We're overreacting.	Nous sur-réagissons.
We're pretty tight.	Notre horaire est assez serré.
We're running away.	Nous nous enfuyons.
We're slowing down.	Nous sommes en train de ralentir.
We're turning back.	Nous retournons en arrière.
We're under attack.	Nous sommes attaqués.
We're under attack.	Nous sommes attaquées.
We're unprejudiced.	Nous sommes dépourvus de préjugés.
We're very excited.	Nous sommes très excités.
We're very excited.	Nous sommes très excitées.
We're volunteering.	Nous nous portons volontaires.
You are impossible.	Vous êtes insupportable.
You aren't looking.	Tu ne regardes pas.
You aren't looking.	Vous ne regardez pas.
You're a big softy.	T'es un gros nounours.
You're a funny gal.	T'es une drôle de fille.
You're a funny guy.	Vous êtes un drôle de zozo.
You're a funny guy.	Vous êtes un drôle de spécimen.
You're a weird kid.	T'es un gamin bizarre.
You're a woman now.	Tu es désormais une femme.
You're all racists.	Vous êtes tous des racistes.
You're annoying me.	Tu m'énerves.
You're avoiding me.	Tu m'évites.
You're avoiding me.	Vous m'évitez.
You're considerate.	Vous êtes prévenant.
You're considerate.	Tu es prévenante.
You're cooperating.	Vous coopérez.
You're extroverted.	Tu es extraverti.
You're extroverted.	Vous êtes extravertis.
You're extroverted.	Vous êtes extraverties.
You're fascinating.	Vous êtes fascinante.
You're fascinating.	Vous êtes fascinantes.
You're fascinating.	Vous êtes fascinant.
You're fascinating.	Vous êtes fascinants.
You're fashionable.	Tu es branché.
You're fashionable.	Tu es branchée.
You're fashionable.	Vous êtes branchés.
You're fashionable.	Vous êtes branchées.
You're my princess.	Vous êtes ma princesse.
You're not bruised.	Tu n'es pas contusionné.
You're not bruised.	Tu n'es pas contusionnée.
You're not bruised.	Vous n'êtes pas contusionnés.
You're not bruised.	Vous n'êtes pas contusionnées.
You're not dressed.	Vous n'êtes pas habillé.
You're not dressed.	Vous n'êtes pas habillée.
You're not helping.	Tu n'aides pas.
You're not helping.	Vous n'aidez pas.
You're on the list.	Vous êtes sur la liste.
You're out of time.	Votre temps est écoulé.
You're replaceable.	On peut te remplacer.
You're replaceable.	Tu n'es pas indispensable.
You're so pathetic.	Tu es si pitoyable.
You're still alive.	Vous êtes toujours vivants.
You're still alive.	Tu es toujours vivante.
You're still alive.	Vous êtes toujours vivantes.
You're still green.	Tu es encore jeune.
You're still green.	Vous êtes encore inexpérimenté.
You're such a liar.	Tu es un sacré menteur.
You're such a liar.	Quel menteur tu fais !
You're such a liar.	Vous êtes une sacrée menteuse.
You're the teacher.	C'est toi le prof.
You're touching me.	Tu me touches.
You're touching me.	Vous me touchez.
You're turning red.	Tu deviens rouge.
You're turning red.	Vous devenez rouge.
You're very astute.	Tu es fort astucieux.
You're very astute.	Vous êtes très astucieuses.
You're very clever.	Tu es très ingénieux.
You're very clever.	Tu es très ingénieuse.
You're very clever.	Tu es très habile.
You're very clever.	Vous êtes très habiles.
You're very clever.	Vous êtes fort ingénieuses.
You're very direct.	Tu es très direct.
You're very direct.	Tu es très directe.
You're very direct.	Vous êtes très directes.
You're very lonely.	Vous êtes très solitaires.
He is a hard worker.	C'est un travailleur appliqué.
He is a lazy fellow.	C'est un type paresseux.
He is about my size.	Il fait à peu près ma taille.
He is apt to forget.	Il a tendance à oublier.
He is at his office.	Il est à son bureau.
He is clever indeed.	Il est vraiment intelligent.
He is far from rich.	Il est loin d'être riche.
He is good at rugby.	Il est fort au rugby.
He is not religious.	Il n'est pas religieux.
He is over 80 kilos.	Il fait plus de 80 kilos.
He is probably dead.	Il est probablement mort.
He is taking a walk.	Il fait une promenade.
He is tall and lean.	Il est grand et maigre.
He is telling a lie.	Il dit un mensonge.
He is very sociable.	Il est très sociable.
He is washing a car.	Il nettoie une voiture.
He is wearing a hat.	Il porte un chapeau.
He's a cardiologist.	C'est un cardiologue.
He's a chain smoker.	C'est un fumeur invétéré.
He's a great kisser.	Il embrasse très bien.
He's a late bloomer.	Il est tardivement arrivé à maturité.
He's a loose cannon.	C'est un électron libre.
He's a scriptwriter.	Il est scénariste.
He's active and fit.	Il est actif et en forme.
He's an opera lover.	C'est un inconditionnel de l'opéra.
He's behaving oddly.	Il se comporte étrangement.
He's doing it right.	Il le fait correctement.
He's doing it right.	Il le fait comme il faut.
He's done it before.	Il l'a fait auparavant.
He's got a headache.	Il a mal à la tête.
He's in big trouble.	Il est dans la merde.
He's in his fifties.	Il a la cinquantaine.
He's in the kitchen.	Il est dans la cuisine.
He's known for that.	Il est connu pour cela.
He's likely to come.	Il est probable qu'il vienne.
He's on sentry duty.	Il est de garde.
He's taller than me.	Il est plus grand que moi.
He's very skeptical.	Il est très sceptique.
I am a fast swimmer.	Je peux nager très vite.
I am an electrician.	Je suis électricien.
I am eating noodles.	Je mange des nouilles.
I am free from care.	Je ne m'en fais pas.
I am going to sleep.	Je vais aller rejoindre les bras de Morphée.
I am going to study.	Je vais étudier.
I am like my mother.	Je suis comme ma mère.
I am older than him.	Je suis plus vieux que lui.
I am peeling apples.	Je suis en train d'éplucher des pommes.
I am poor at tennis.	Je suis médiocre au tennis.
I am reading a book.	Je suis en train de lire un livre.
I am right for once.	Pour une fois j'ai raison.
I am sad to hear it.	Ça me rend triste d'entendre ça.
I am the chosen one.	Je suis l'élu.
I'm a beginner, too.	Moi aussi je suis débutant.
I'm a light sleeper.	Je dors peu.
I'm a perfectionist.	Je suis perfectionniste.
I'm a social worker.	Je suis un travailleur social.
I'm a social worker.	Je suis une travailleuse sociale.
I'm a stranger here.	Je suis un étranger ici.
I'm a stranger here.	Je suis une étrangère ici.
I'm about to go out.	Je vais sortir.
I'm absolutely sure!	J’en suis sûre et certaine !
I'm at your service.	Je suis à votre service.
I'm behind schedule.	Je suis en retard sur le programme.
I'm broke and tired.	Je suis lessivé et fatigué.
I'm broke and tired.	Je suis sur la paille et fatigué.
I'm dying of thirst.	Je meurs de soif.
I'm eating an apple.	Je mange une pomme.
I'm fed up with her.	J'en ai marre d'elle.
I'm fine, thank you.	Ça va, merci.
I'm getting married.	Je vais me marier.
I'm glad to be here.	Je suis content d'être là.
I'm glad to see you.	Je suis heureux de vous voir.
I'm glad to see you.	Je suis enchanté de vous rencontrer.
I'm glad we saw Tom.	Je suis content que nous ayons vu Tom.
I'm going on a trip.	Je pars en voyage.
I'm good at science.	Je suis bon en Sciences.
I'm good at singing.	Je suis bon en chant.
I'm in my underwear.	Je suis en sous-vêtements.
I'm incredibly busy.	Je suis incroyablement occupé.
I'm indebted to you.	J'ai une dette envers toi.
I'm kind of a loner.	Je suis une sorte de solitaire.
I'm learning Basque.	Je suis en train d'apprendre le basque.
I'm leaving tonight.	Je pars ce soir.
I'm living my dream.	Je vis mon rêve.
I'm making progress.	Je fais des progrès.
